feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,Genre
-80.707695,37.972755,14.185796,13.55991,10.547067,0.3655432,7.0347204,-0.9200873,5.0633097,-1.6175041,-2.7690454,1.4518906,-2.8314219,0.051103957,0.007216171,-0.01666164,-0.022448028,-0.0045144362,0.0047881696,-0.0053029293,-0.00560709,-0.0076179495,-0.0068792356,-0.008668862,-0.0023455974,-0.0024681482,-0.008179631,0.0049358355,0.001349745,-0.009236583,-0.001753432,0.009717066,-0.005821968,0.0055202506,-0.0016211143,0.00304189,-0.0016556762,-0.0003303224,0.0048700743,pop
-64.901505,30.455475,18.643456,7.6670294,7.627762,-1.0617357,2.6730735,3.833912,2.856071,3.790242,-1.5003351,0.6691313,-1.6871392,-0.013380152,0.032239757,0.0073308437,-0.0036633522,-1.9974794e-05,-0.008872192,-0.0058370107,-0.007771295,-0.003463469,-0.0024248087,-0.00071244413,-0.00091070106,-0.0073280483,0.048231658,-0.006432066,-0.0028656272,0.0012146352,0.00925433,0.0030820398,-0.0032400573,-0.003157466,-0.0004662538,-0.0032924544,-0.0031253505,-0.0029923106,0.0019598189,pop
-66.13278,41.009396,17.668612,8.557407,3.9353542,4.3342805,5.1972175,2.0135722,2.7792645,2.8738174,1.2463567,2.4048123,2.497924,0.024316322,0.006316675,-0.011892999,-0.009739246,-0.017516237,0.0052666934,-0.006712044,-0.0034813592,-0.0039737006,-0.00029847387,-0.0045410558,-0.0049157315,-0.0021792639,-0.031462923,0.0017332349,-0.0014103698,0.00044691746,0.0023933775,-0.006008981,-5.2688847e-05,-0.00064408255,-0.005702135,-0.004254968,-0.00027025474,0.0031456018,0.00088717,pop
-97.547134,74.991,-15.717961,20.949183,11.108748,0.037831977,8.262412,-1.6286592,5.052258,5.197285,-1.3579198,2.420693,-3.154674,0.035788916,-0.0035534126,-0.016481832,0.016920583,-0.020607881,0.0067756018,0.009945982,0.012379696,0.00083147606,0.0076966533,0.0078357505,-0.0040029106,0.004948307,0.023553103,-0.009188404,0.0004529907,-0.008452552,-0.003538238,0.001045854,0.0006013066,-0.0021283578,0.0021699676,-0.00051713875,-0.0019613318,0.0014998522,0.0037307916,pop
-42.09757,51.226467,1.6233824,8.105428,4.081479,-0.38473007,3.007137,3.6892114,5.7158422,4.0836377,-0.86167854,0.36173564,-1.5327518,-0.0041555595,-0.010811354,0.016276712,0.0042699124,0.001803522,0.011649478,-0.005979139,-0.005803227,-0.0028445616,-0.00032894057,-0.002357437,-0.00062287156,-0.0028301561,-0.011790662,0.005130549,-0.004512809,-0.0065575833,-0.00027709245,-0.00026382454,0.0008364572,-0.0030166563,0.00011131801,0.0007605066,0.0015136542,-0.0015152366,-0.0014383422,pop
-90.1799,57.411808,-3.9205751,14.121513,1.062053,3.305042,1.7538917,5.8175445,3.4286807,0.38999954,-2.6007676,-0.94047236,-1.7964482,0.10395526,-0.014682348,-0.018729294,0.00025994226,-0.0019287115,0.00081340526,-0.0029298218,0.022738107,0.005774632,-0.0011184351,0.0022593825,0.0017159687,0.00028002437,0.0011035405,-0.005271807,0.0020062788,-0.004765397,0.0010515285,-0.0006641319,0.0010965865,0.0007642088,0.0002674646,0.00023719108,0.0056961556,0.0003278767,0.0002622512,pop
-125.24226,57.04328,13.21649,15.088612,6.640009,9.000421,2.8685923,8.404623,7.0130754,3.8639288,0.5845054,1.3357431,-1.4083302,0.044617273,0.001518303,0.0038187818,-0.013876689,0.00516872,-0.008083844,-0.0077913944,0.0071718907,0.006858092,-0.0047013126,-0.013544373,-0.004838304,-0.005619002,-0.008654047,0.0012994634,0.004320623,0.0009695133,0.0013333012,0.000401699,-0.002131568,-0.0029888614,-0.004275338,-0.0011534673,-0.00073150045,0.0051654857,0.0028840299,pop
-145.66121,69.79316,-4.284607,6.485107,1.625199,-7.5056834,2.5055532,3.7973697,3.9513447,0.8934208,-5.169535,0.38765964,2.43343,0.028050262,0.035535417,0.0029285331,0.010450071,-0.0023312254,0.013047713,0.006816774,0.016058562,0.007525267,0.010847589,0.0043263226,0.0075103543,-0.004553949,-0.030494552,0.007559865,0.0013388662,-0.0017249224,-0.0020140975,0.0001377108,0.0023009258,-0.003064582,-0.0010455631,-0.0006362149,-0.0031376283,-0.0012449884,-0.0017466239,pop
-58.027866,46.3765,4.488417,13.082276,11.008552,0.55456513,4.5223365,3.3982518,5.553641,5.577596,0.24872085,0.37481213,-1.0225583,0.056537088,-0.0057357247,-0.03742118,0.009851206,0.0048710625,-0.0036628374,0.016449468,0.010826158,0.006293943,-0.0011022066,-0.008620735,-0.0024997597,0.00013532107,-0.008291167,0.00011581427,-0.0038807546,-0.000601744,0.0011989332,-0.00073778344,0.00061571586,-0.0031308401,-0.0036563925,0.003943687,0.0042716605,0.002372061,0.002206815,pop
-52.6396,37.19823,5.8223414,15.516628,2.379689,-1.0923758,-0.7648462,3.4124167,3.653405,1.0281337,-3.6334937,-0.009223791,0.089338094,0.05118178,0.0057926914,-0.021801576,-0.00028078776,-0.0019540675,-0.021716636,0.011171654,0.00445673,-0.0048530013,-0.007710341,-0.00210506,-0.0012848545,-0.004059177,0.028743355,0.0040479167,-0.020110015,-0.01079894,-0.004104046,-0.0071698856,0.0028289845,0.003532201,0.00403284,0.0037363507,-0.0025961297,0.002691819,0.0035013591,pop
-88.17793,64.65052,2.9464183,18.050581,10.610141,8.591804,3.3613095,3.8879714,3.0222144,1.2366437,0.64212024,3.4898825,2.1087983,-0.008910431,0.028961424,-0.014354104,0.003958761,-0.00809498,-0.0019274341,0.005124072,0.0022778213,-0.0019537427,-0.0061737266,-0.0047044815,-0.0025451567,0.0001675288,-0.02090977,0.004964973,0.006766553,0.0010508958,-0.0029451959,-0.0029611927,-0.0005797309,0.005362953,-0.00047322345,0.002091063,0.0013978415,-0.00087871286,-7.732599e-05,pop
-150.43912,67.93438,-0.11584388,0.6858007,-6.337791,-8.611922,1.4559141,-8.93082,-3.2079294,-4.2843547,-6.602892,-1.8486098,-5.324718,-0.012793975,0.02800389,-0.0022842735,-0.00661289,-0.0048549017,-1.2926602e-05,-0.009640301,0.0003008669,0.019574258,0.0061336476,-0.017795157,-0.0056039826,0.013884569,0.016048113,0.0024543311,0.005658458,0.0023852347,-0.0022429938,0.0035632234,0.007627083,0.0025250386,-0.0023018355,-0.0020779523,-0.00066904345,-0.0026022044,0.0025404117,pop
-56.42595,50.435898,-5.9659886,11.580145,6.9622726,3.689324,4.286645,2.4328165,-0.9653986,2.3793137,-2.1632292,1.345159,0.36119148,0.031348597,-0.0061733117,-0.0074126134,-0.00589254,-0.0068659447,0.005689584,0.011536168,0.0011800521,-0.004795978,-0.008527167,0.0013912618,-0.0014109011,-0.0040565943,0.0039979587,-0.0034915425,-0.005494989,-0.0034696478,-0.008580639,-0.0056824666,-0.0043956423,0.001672324,0.0043989825,0.0064925784,0.0011495937,0.00464547,0.002520623,pop
